DB00443	DB00620	0.4
DB00443	DB00291	0.2
DB00443	DB00768	0.25
DB00443	DB00341	0.25
DB00443	DB00860	0.375
DB00443	DB01075	0.2
DB00443	DB00341	0.25
DB00443	DB00852	0.25
DB00443	DB01075	0.2
DB00443	DB00860	0.375
DB00443	DB01234	0.1
DB00443	DB00635	0.063
DB00443	DB00860	0.231
DB00443	DB01013	0.25
DB00443	DB00950	0.25
DB00443	DB00557	0.25
DB00443	DB01075	0.2
DB00443	DB01234	0.083
DB00443	DB01234	0.091
DB00443	DB00443	0.333
DB00443	DB01222	0.125
DB00443	DB00950	0.25
DB00443	DB00972	0.25
DB00443	DB00588	0.4
DB00443	DB00620	0.4
DB00443	DB00443	0.75
DB00443	DB01013	0.2
DB00443	DB00688	0.125
DB00443	DB00959	0.111
DB00443	DB00959	0.111
DB00443	DB00959	0.111
DB00443	DB00959	0.111
DB00443	DB00860	0.375
DB00443	DB00471	0.25
DB00443	DB01003	0.2
DB00443	DB01234	0.1
DB00443	DB01234	0.1
DB00443	DB00563	0.071
DB00443	DB00768	0.25
DB00591	DB01188	1.0
DB00591	DB01188	1.0
DB00591	DB01013	0.167
DB00388	DB00967	1.0
DB00388	DB00443	0.333
DB00388	DB00764	0.5
DB00388	DB01075	0.5
DB00388	DB00620	0.25
DB00388	DB00860	0.143
DB00388	DB00620	0.333
DB00388	DB00620	0.333
DB00388	DB00935	1.0
DB00388	DB01234	0.111
DB00388	DB00443	0.333
DB00388	DB00741	0.2
DB00388	DB01114	1.0
DB00388	DB00860	0.143
DB00388	DB00455	1.0
DB00388	DB00764	0.5
DB00388	DB00764	0.333
DB00388	DB00471	0.5
DB00388	DB01234	0.143
DB00388	DB00860	0.143
DB00388	DB00443	0.333
DB00388	DB00852	1.0
DB00388	DB01075	0.5
DB00388	DB00332	0.5
DB00388	DB01075	0.5
DB00388	DB00557	1.0
DB00388	DB01234	0.143
DB00388	DB00388	1.0
DB00388	DB00180	1.0
DB00388	DB00972	1.0
DB00388	DB00394	0.5
DB00388	DB00860	0.143
DB00388	DB00852	1.0
DB00388	DB00852	1.0
DB00388	DB00180	0.5
DB00388	DB00443	0.25
DB00388	DB01234	0.143
DB00388	DB00557	1.0
DB00388	DB00620	0.333
DB00388	DB00768	1.0
DB00388	DB00341	1.0
DB00388	DB00860	0.143
DB00388	DB01075	0.5
